626,19
338,66
269,70
872,8
839,null
1002,2
1237,71 73
1004,1
1005,1
1006,null
1007,null
1008,null
1009,null
1115,74
1010,9
980,35 36
1012,null
1013,null
1014,12
1015,null
1016,null
1017,2
583,33
1019,2
1081,53
1020,1 2
1021,1
1022,1
1023,32
898,35 33
611,33
862,8
892,6
846,10 9
457,49 50
596,6
121,24
1032,32
189,24
46,23
543,33 34
950,27
1256,28
1053,28 32
484,75
695,38
1041,25 26
1042,26
1043,26 27
1044,27
1045,27
1046,27
1047,27 28
1048,28
738,21 22
886,41
1099,null
232,25 29
1289,24 8
1090,53 54
1290,24
880,8
182,null
670,10
184,null
890,6 7
1257,28
976,59 60
612,33
109,61
265,70
1064,28
405,4
673,76
966,58 61
1260,24 8
1069,null
227,28 33
1070,null
1071,null
1072,null
1073,null
1074,null
1075,null
1076,null
1077,null
1078,null
1079,null
651,15 19
1080,53
1102,null
534,29 30
711,40
1084,null
1085,null
1086,null
1087,null
1088,53
79,29
808,48 51
153,24 28
266,70
1092,74
1093,null
1094,null
1095,null
1096,null
1097,null
482,49 50
694,38
192,24
448,71
940,16 21
1292,33 32
264,70
1124,null
1298,32
535,30
625,19
1107,null
1108,null
1109,null
1204,68 71
1110,null
1111,null
1112,null
1113,null
1114,null
369,72 75
1119,null
1120,null
1121,null
1122,null
1123,null
1128,null
1129,null
1130,null
1131,null
1135,null
1136,null
1137,null
1138,null
1139,64
1141,56
1142,null
1143,null
1144,null
1145,null
1146,null
1147,null
1170,null
1149,null
83,26
1150,null
434,35
428,49 73
219,29
1154,null
1155,null
1156,null
1157,null
1159,null
493,56
1160,null
1161,null
1162,null
1163,null
1164,null
1165,null
1166,null
1167,null
1249,60 61
1169,null
805,41 42
65,70
821,51
697,35 38
370,72
1174,32
1175,32
358,22
698,35
74,57
557,31 34
1301,32
317,3
215,null
354,24
40,29
1118,74 75
1027,32
1065,25 26
131,3 77
255,71 72
1194,36 38
1195,36
1277,32
50,22
1239,71
773,15
652,15
1213,61
636,56 64
259,44 49 71
602,3 77
842,17
456,49
864,8
32,57 62
983,51 55
1254,28 31
856,10
1125,null
158,22 7
241,28
37,30
765,25
105,67
595,6 7
45,23
1184,1
111,59 61
790,2
894,3
1266,6
527,12
463,72
450,70
198,25
1055,32
926,24 28
579,36 39
907,32
656,32
679,24 28
1271,28
396,24
935,24
1132,null
386,59
284,15 17
289,16
798,48
1104,null
161,6
344,58
392,28
393,24 28
466,73
640,56
613,33 32
291,16
865,28
230,25
365,4
500,57 58
700,33
412,44
1082,54
704,44
569,56
25,70
103,67
181,40
329,72
88,20 23
795,77
546,29
283,17
481,49
1168,null
660,32
1272,28
413,44 45
1182,1 77
106,67
1275,28
598,3 6
1199,73
1278,32
1279,32
128,6
363,5
762,64
411,44
1208,68
1284,8
53,16
502,59 58
591,8
1262,7
174,63
549,29 30
270,70 71
1091,51 54 55
1225,8
1302,32
119,24
1134,25
1250,60
489,49
302,17
294,6 5
514,57
130,3
930,22
180,37 40
420,69
403,5
560,33
763,56 64
573,25
364,4 5
967,61
1205,68
1240,71
861,8
244,32
73,57
797,48 51
281,17
657,32
707,69
367,4
857,11 10
376,66 70
340,63
674,34
620,8
517,59 58
1185,1 77
558,33 34
702,44 49
31,62 65
390,28 31
314,5
505,59 60
160,6
1192,33
328,72
1061,28
1098,null
1235,73
766,18 25
416,70
1296,8 32
683,44 49
163,3 6
164,3
165,3 77
1133,null
167,77
712,38 40
786,13
1207,68
145,59 61
834,null
194,24 8
414,45
933,24
1127,25
719,35 33
532,29
1287,8
948,10
1011,9
536,30
229,25
501,58
566,64
287,15 16
453,71
1248,61
14,56
1267,3 6
525,12
944,11
166,77
895,3
395,24
341,63
1018,2
316,3 6
2,62 63
247,56
954,8
135,71
362,5
38,29 30
851,11 10
610,35 33
290,16
866,28
1171,null
115,28 31
1066,26
1251,60
806,41
92,16
529,12
1083,51 54 55
578,36 39
213,null
1283,8
473,51
778,13
1056,32
1153,17 10
102,67 71
1252,60
633,null
440,70
171,62
349,28 31
1100,null
146,59
615,32
1295,32
1215,60
1263,7
497,56 57
323,25
258,71
863,8
149,31
78,29 30
917,33
927,24
337,66
464,72 73
254,null
305,15
1209,68
837,null
295,6
169,56 62
52,16 21
658,32
1269,32
132,77
233,29
574,25
426,73
472,47 51
1223,24
577,25
351,28
306,15
479,49 75
1224,24 8
1246,61
792,77
28,65
421,69
1000,2
621,8
10,40 68
812,43 45
799,45 48
606,39
623,19 25
1229,6 7
699,35 33
107,61 67
188,23 24
150,28 31
693,38 40
394,24
618,8 32
454,71
318,3
355,24
243,28 32
69,65
175,61 63
246,56
932,10
918,33 32
293,5
1306,33 32
110,61
877,7
406,4
374,70
336,66
425,72 73
100,71
939,21 22
1220,28
1059,28
72,57 62
97,13
969,34 60 61
56,13 14
94,14 16
899,33
348,31
1054,32
138,67
402,5
95,13 14
3,63
172,62 63
1238,71
550,30
1001,2
802,43
900,33
893,3 6
914,33
217,29
408,2
66,70
122,22 24
1218,31
575,25
177,61
644,25
176,61
508,56
253,null
319,3
541,31
1067,26 27
444,70
155,24
638,56
597,6
922,8 32
1231,6
789,2
127,6
498,57
977,34 60
1211,61
1051,28
89,20 22
510,56
477,75
401,21 5
407,4 2
896,3 77
710,40 69
539,31
1291,24
137,67 71
